state,value
Alabama,33
Alaska,24
Arizona,246
Arkansas,13
California,2004
Colorado,313
Connecticut,73
Delaware,15
D.C,61
Florida,351
Georgia,162
Hawaii,68
Idaho,35
Illinois,403
Indiana,144
Iowa,28
Kansas,41
Kentucky,41
Louisiana,39
Maine,16
Maryland,152
Massachusetts,150
Michigan,161
Minnesota,109
Mississippi,17
Missouri,83
Montana,15
Nebraska,23
Nevada,181
New Hampshire,15
New Jersey,147
New Mexico,38
New York,359
North Carolina,117
North Dakota,10
Ohio,203
Oklahoma,32
Oregon,244
Pennsylvania,177
Rhode Island,14
South Carolina,47
South Dakota,13
Tennessee,80
Texas,588
Utah,42
Vermont,4
Virginia,231
Washington,537
West Virginia,14
Wisconsin,77
Wyoming,9
