state,average,top-tier,single-family,bottom-tier
Alabama,147539,271889,146534,68371
Alaska,297111,428907,311194,191152
Arizona,283623,449443,290075,197259
Arkansas,131837,232877,131577,64097
California,579332,1065479,346944,588050
Colorado,412819,642646,422369,279396
Connecticut,262600,456808,278008,170615
Delaware,262667,394260,264627,179496
D.C,,,,
Florida,254607,432633,266350,158180
Georgia,208833,365322,208466,117107
Hawaii,646733,1000348,727931,380055
Idaho,303606,464079,304036,205803
Illinois,204872,362334,205201,105910
Indiana,161106,271339,161291,88260
Iowa,155781,265520,157261,83788
Kansas,154531,287863,154777,71887
Kentucky,150918,261262,150877,77463
Louisiana,171485,296599,171948,94364
Maine,253914,422248,252014,150408
Maryland,317033,513094,327604,192725
Massachusetts,439541,732598,447367,283343
Michigan,180404,313720,177403,90535
Minnesota,266887,603999,270308,169614
Mississippi,126511,223621,126294,68093
Missouri,167700,288175,168392,90857
Montana,293685,464744,293244,185975
Nebraska,180397,291471,180496,104964
Nevada,311018,458950,322809,223577
New Hampshire,303875,456232,345079,199074
New Jersey,346368,584459,355423,205231
New Mexico,214213,358768,215378,142717
New York,331459,728940,275426,145097
North Carolina,210766,366161,212247,115378
North Dakota,236405,347710,241803,155757
Ohio,156343,275136,157386,83321
Oklahoma,134289,235037,134995,64895
Oregon,374604,550478,377275,263013
Pennsylvania,200367,351542,201300,108661
Rhode Island,312255,495252,317918,236324
South Carolina,193491,346615,195761,106900
South Dakota,217215,334102,217789,143611
Tennessee,192275,338100,191164,99130
Texas,213036,367998,213666,126071
Utah,360044,540784,365960,262743
Vermont,264777,404897,269754,171962
Virginia,293818,547212,295926,165069
Washington,431487,723762,289328,437442
West Virginia,107064,199651,106840,52166
Wisconsin,206169,330532,207906,129163
Wyoming,254753,412188,254065,167987
