행정구역별,대학교 재학생수,일반대,전문대,교육대,산업대
전국,2633787,1981003,621772,15628,15384
서울특별시,563889,507319,54964,1606,0
부산광역시,230984,186383,43033,1568,0
대구광역시,114809,61667,51484,1658,0
인천광역시,67160,43435,22412,1313,0
광주광역시,108225,82338,24498,1389,0
대전광역시,134526,108791,25735,0,0
울산광역시,32080,20509,11571,0,0
세종특별자치시,22558,17852,4706,0,0
경기도,433276,235519,196337,1420,0
강원도,116054,96459,18230,1365,0
충청북도,116655,96156,19265,1234,0
충청남도,184548,152343,22365,1490,8350
전라북도,116780,85214,23318,1214,7034
전라남도,69626,45515,24111,0,0
경상북도,186264,147688,38576,0,0
경상남도,107580,78102,28107,1371,0
제주특별자치도,28773,15713,13060,0,0
