년,월,주택매매전체,아파트매매,주택전월세전체,전체
2021,3,11122,4495,72785,83907
2021,2,12707,5435,63337,76044
2021,1,12275,5945,55797,68072
2020,12,16190,8764,57007,73197
2020,11,10082,4725,55978,66060
2020,10,10629,4320,55665,66294
2020,9,10755,4795,54632,65387
2020,8,14459,6880,54498,68957
2020,7,26662,16002,56960,83622
2020,6,19463,11106,63000,82463
2020,5,10255,4328,54637,64892
2020,4,9452,3699,54166,63618
2020,3,16315,9152,64709,81024
2020,2,16661,9522,71219,87880
2020,1,16834,10491,55457,72291
2019,12,22156,14117,51995,74151
2019,11,17313,10955,47167,64480
2019,10,14145,8274,54055,68200
2019,9,11779,7096,46371,58150
2019,8,13514,8586,51014,64528
2019,7,12256,7009,50211,62467
2019,6,8990,4470,42637,51627
2019,5,8077,3432,49524,57601
2019,4,6924,2469,52031,58955
2019,3,5633,1813,59105,64738
2019,2,4552,1624,62252,66804
2019,1,6040,1889,54545,60585
2018,12,7000,2380,45132,52132
2018,11,9324,3736,48837,58161
2018,10,18787,10977,55309,74096
2018,9,19228,12395,42246,61474
2018,8,13577,7687,48464,62041
2018,7,11753,5852,46369,58122
2018,6,10401,4830,44601,55002
2018,5,11719,5697,48062,59781
2018,4,12347,6535,49555,61902
2018,3,24122,14609,60801,84923
2018,2,17685,11986,53159,70844
2018,1,15107,9938,46702,61809
2017,12,13740,8484,38617,52357
2017,11,12041,6679,41777,53818
2017,10,8561,3942,38372,46933
2017,9,15572,8652,44165,59737
2017,8,24259,15421,46688,70947
2017,7,23972,15168,40609,64581
2017,6,23879,14918,42555,66434
2017,5,18665,10586,45408,64073
2017,4,14844,7858,43096,57940
2017,3,13289,6802,55250,68539
2017,2,9756,4760,59637,69393
2017,1,9219,4627,39537,48756
2016,12,16717,9654,42913,59630
2016,11,19962,11528,44031,63993
2016,10,22433,13467,45759,68192
2016,9,19191,11342,40393,59584
2016,8,21649,12784,46013,67662
2016,7,22852,14545,38323,61175
2016,6,20833,11974,40227,61060
2016,5,19217,10710,43160,62377
2016,4,16123,8629,42773,58896
2016,3,13751,7231,51323,65074
2016,2,9910,5193,50449,60359
2016,1,10340,5549,36840,47180
2015,12,15659,8614,40437,56096
2015,11,18040,10334,39566,57606
2015,10,20344,11852,43454,63798
2015,9,16743,9357,36917,53660
2015,8,18733,10799,41677,60410
2015,7,21382,12414,42675,64057
2015,6,20691,11762,44092,64783
2015,5,21706,12903,41775,63481
2015,4,23252,14234,46375,69627
2015,3,21138,13602,58677,79815
2015,2,12990,8682,46345,59335
2015,1,11005,6860,38595,49600
2014,12,11904,6956,40831,52735
2014,11,13972,8630,39486,53458
2014,10,17126,11161,47448,64574
2014,9,14107,9052,38616,52723
2014,8,10954,6806,40086,51040
2014,7,10621,6235,51164,61785
2014,6,10042,5259,40301,50343
2014,5,10994,6079,43316,54310
2014,4,13839,8639,45427,59266
2014,3,14615,9522,50350,64965
2014,2,11771,7864,50821,62592
2014,1,8321,5493,33335,41656
2013,12,12464,7758,34606,47070
2013,11,12044,7868,32555,44599
2013,10,13131,8537,38050,51181
2013,9,8110,4774,30781,38891
2013,8,5808,3179,35295,41103
2013,7,4490,2201,34328,38818
2013,6,17074,10237,33057,50131
2013,5,12184,7677,37436,49620
2013,4,10438,6603,42675,53113
2013,3,8674,5466,46063,54737
2013,2,5021,3189,45438,50459
2013,1,2451,1213,33278,35729
2012,12,12358,7565,33857,46215
2012,11,8972,5069,36875,45847
2012,10,7623,4239,39116,46739
2012,9,4178,2227,30235,34413
2012,8,4905,2398,33219,38124
2012,7,5877,2952,32134,38011
2012,6,6602,3187,30256,36858
2012,5,7665,3785,38707,46372
2012,4,8087,4214,40129,48216
2012,3,7646,4087,41969,49615
2012,2,6060,3512,42510,48570
2012,1,3284,1536,25983,29267
2011,12,11265,6207,30444,41709
2011,11,8528,4568,32415,40943
2011,10,9003,4701,35984,44987
2011,9,8749,4868,32416,41165
2011,8,8759,4931,37936,46695
2011,7,7921,4096,29715,37636
2011,6,8932,4467,31274,40206
2011,5,9414,4654,37541,46955
2011,4,10886,5460,39465,50351
2011,3,12370,7279,47066,59436
